Age,Education,Marital_Status,Income,Spending,Seniority,Has_child,Children,Wines,Fruits,Meat,Fish,Sweets,Gold,features_raw,features_scaled,features,probability,prediction,Cluster
68,Postgraduate,Alone,58138,1617,155.46666666666667,No child,No child,635,88,546,172,88,88,"[58138.0,155.46666666666667,1617.0]","[2.700786745884371,23.03451857457605,2.681924318082722]","[0.11568092651756195,0.9866215667170006,0.11487300522285385]","[0.016649683700074747,4.9743673691122084e-20,0.9833503162999252,4.9743673691122084e-20]",2,Cluster 2
71,Postgraduate,Alone,46344,27,137.13333333333333,Has child,2 children,11,1,6,2,1,6,"[46344.0,137.13333333333333,27.0]","[2.1528993249039408,20.31818383700812,0.044781667648876616]","[0.10536912827529431,0.9944307633327186,0.0021917445132213116]","[0.00018775152391916947,0.9998122484020763,2.2939008616753507e-21,7.400450825595851e-11]",1,Cluster 1
60,Postgraduate,In couple,71613,776,143.76666666666668,No child,No child,426,49,127,111,21,42,"[71613.0,143.76666666666668,776.0]","[3.3267646157937576,21.30100313296452,1.2870582998343798]","[0.15403394727020112,0.9862668304840645,0.059592635243615355]","[0.0004187666286563525,7.750446973252241e-06,0.9995734829243704,7.516018536407228e-21]",2,Cluster 2
41,Postgraduate,In couple,26646,53,138.0,Has child,1 child,11,4,20,10,3,5,"[26646.0,138.0,53.0]","[1.2378334932545831,20.446592388238606,0.08790475501446152]","[0.060428649154546314,0.9981632946336607,0.004291340983041843]","[4.807640855183147e-05,7.952007588785744e-11,1.4183170971757112e-22,0.9999519235119282]",3,Cluster 3
44,Postgraduate,In couple,58293,422,138.73333333333332,Has child,1 child,173,43,118,46,27,15,"[58293.0,138.73333333333332,422.0]","[2.7079872334417705,20.55524577774132,0.6999208795491086]","[0.13053895829837886,0.9908689148372235,0.03373979809775584]","[9.78507949173085e-05,0.9999014407791297,7.084259530145087e-07,1.8346239975546832e-21]",1,Cluster 1
58,Postgraduate,In couple,62513,716,143.13333333333333,Has child,1 child,520,42,98,0,42,14,"[62513.0,143.13333333333333,716.0]","[2.9040263140367695,21.207166114757623,1.1875434828368763]","[0.13546167218383648,0.9892328352190988,0.05539434171052197]","[0.0005460773281438022,0.7450515063381496,0.25440241633370664,7.526511509075843e-21]",1,Cluster 1
54,Postgraduate,Alone,55635,590,153.13333333333333,Has child,1 child,235,65,164,50,49,27,"[55635.0,153.13333333333333,590.0]","[2.584510485521982,22.688803244340132,0.9785623671421187]","[0.11307557035656111,0.9926635554134354,0.0428133290284229]","[0.0002312631420402456,0.9997684424118535,2.9444610623026893e-07,2.1983529648948466e-21]",1,Cluster 1
40,Postgraduate,In couple,33454,169,147.26666666666668,Has child,1 child,76,10,56,3,1,23,"[33454.0,147.26666666666668,169.0]","[1.554097488678932,21.819576128318396,0.2803000678763018]","[0.07103910757457836,0.9973912364590036,0.012812752623358742]","[0.0006759614607144951,0.004574947826322026,2.3741024966460876e-21,0.9947490907129635]",3,Cluster 3
51,Postgraduate,In couple,30351,46,146.3,Has child,1 child,14,0,24,3,3,2,"[30351.0,146.3,46.0]","[1.4099483732556426,21.676351205792088,0.07629469303141942]","[0.06490790026023963,0.9978850777512659,0.0035122763496894956]","[4.298192528101337e-05,1.8448624415785274e-08,1.4105472207384565e-22,0.9999569996260945]",3,Cluster 3
75,Postgraduate,In couple,5648,49,136.96666666666667,Has child,2 children,28,0,6,1,1,13,"[5648.0,136.96666666666667,49.0]","[0.26237647563994165,20.293489884848412,0.08127043388129461]","[0.012927911699816405,0.9999084127971253,0.004004387170993779]","[0.9999999995341234,4.0934996555224685e-18,4.0934996555224685e-18,4.658765186689353e-10]",0,Cluster 0
